PLAYER_ID,FIRST_NAME,LAST_NAME,SUFFIX,EMAIL_ADDR,PASSWORD,GENDER,DATE_OF_BIRTH,ADDR_LINE1,ADDR_LINE2,CITY,REGION,POST_CODE,CITIZENSHIP,PRIMARY_PHONE,MOBILE_PHONE,SECURITY_QUESTION1,SECURITY_ANSWER1,SECURITY_QUESTION2,SECURITY_ANSWER2,CREATION_DATE,UPDATE_DATE,PLAYER_LOCK_EXPIRE_TIMESTAMP,LAST_LOGIN,LAST_LOGOUT,STATE,COUPON,WINNING_NUMBERS,JACKPOT,NEWSLETTER,WIN_AND_PAYMENT_SYSTEM,SSN4,NEW,REGISTRATION_GAME_CLIENT,WINNING,DEPOSIT,BONUS,DAY_LIMIT,DAY_SPENT_LIMIT,WEEK_LIMIT,WEEK_SPENT_LIMIT,MONTH_LIMIT,MONTH_SPENT_LIMIT,REGISTRATION_LEVEL
12510280,Rr,Player,,rr5@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/8/1977,1000 Williams Street,,Atlanta,GA,30025,Resident,+1 7704558585,+1 7704558585,What was the make of your first car?,a,In what city were you born?,a,05:37.0,51:34.0,,42:03.8,58:12.2,Active,0,0,0,0,1,1000,1,Site 36 Mobile App (Registration),0,0,0,250,20,749,74,2499,249,2
12510287,Dean,Thomas,,qatest619@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,8/7/1952,88 Penelope,,Hogwarts,GA,30052,Resident,+1 8356565653,+1 8356565653,What was the name of your first school teacher?,2,What is the first name of your oldest niece or nephew?,1,26:48.0,24:41.0,,24:10.2,22:52.0,Active,0,0,0,0,1,1133,1,Site 36 Mobile App (Registration),25.17,306,151,250,,750,,2500,,2
12514512,Rr,Player,,rr27@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/5/1965,102 Main,R,Decatur,GA,30024,Resident,+1 6458589898,+1 6458589898,What was the make of your first car?,a,In what city were you born?,a,28:14.0,51:34.0,,21:51.9,48:19.5,Active,0,0,0,0,1,1008,1,Site 36 Mobile Portal (Registration),0,0,0,245,34,749,79,2499,360,2
12514508,Rrr,Player,,rr25@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,2/3/1996,125 Street,,Decatur,GA,30056,Resident,+1 7704587878,+1 7704587878,What is the first name of your oldest niece or nephew?,a,What was the make of your first car?,a,38:40.0,51:34.0,,45:21.8,45:33.9,Active,0,0,0,0,1,1236,1,Site 36 Internet Portal(Registration),0,0,0,100,,300,,2000,,2
12518275,Fenix,Cat,,fenixcatplayer@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/1/1970,789 Main Street,Fghfhhfh,Atlanta,GA,30303,Resident,+1 7705551212,+1 7705552121,What was the name of your elementary/primary school?,Fbnn,In what city were you born?,Cvbn,26:27.0,04:27.0,,04:27.4,00:42.1,Active,0,0,0,0,1,606,1,Site 36 Mobile App (Registration),402.5,0,0,250,25,750,75,2500,378.5,2
12518313,Fenix One,One,,fenixone@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/27/1993,100 Main,,Grayson,GA,30305,Resident,+1 7813212124,+1 2036568988,What was the make of your first car?,a,In what city were you born?,a,01:58.0,05:11.0,,50:54.8,50:54.9,Active,0,0,0,0,1,9990,1,Site 36 Mobile App (Registration),1144.5,10.5,0,50,6,750,12,2500,654,2
12518391,Fenixtwo,Player,,fenixtwo@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/8/1997,110 Flower Street,A,Athens ,GA,30052,Resident,+1 7708552323,+1 7708552323,What was the make of your first car?,a,In what city were you born?,a,35:32.0,56:18.0,,56:18.0,41:14.5,Active,0,0,0,1,1,1235,1,Site 36 Mobile App (Registration),522,13,0,50,1,100,177.5,200,277.5,2
12518397,Petunia,Dursley,,qatest633@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,8/5/1995,33 Lotus Street,,Alpharetta,GA,30082,Resident,+1 7704542121,+1 6785421212,What is the name of your oldest niece or nephew?,A,What is your favorite song?,A,24:07.0,16:47.0,,16:47.4,17:23.7,Active,0,0,0,0,1,5123,1,Site 36 Mobile App (Registration),25,42,0,100,10,750,18,2500,28,2
12518398,Feenniixx Three,Player,,feenniixx3.email@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/11/1981,100 Main,,Athens,GA,30056,Resident,+1 7704542121,+1 7704542121,,,,,14:07.0,05:21.0,,05:21.0,11:23.6,Active,0,0,0,0,1,1212,1,Site 36 Mobile App (Registration),5.5,0,0,,,,,,,2
12518399,Fenixx Threee,Player,,fenixx.threee@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/1/1980,121 Main ,,Dekalb,GA,30066,Resident,+1 7708554241,+1 7705009000,What was the make of your first car?,a,In what city were you born?,a,20:21.0,27:24.0,,27:24.0,27:38.9,Active,0,0,0,0,1,1212,1,Site 36 Mobile App (Registration),37,22,0,60,6,750,700,2500,751,2
12518622,Cindy,Smith,,qatest411@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,8/8/1988,123 Highway 78,,Stone Mountain,GA,30087,Resident,+1 6781992000,+1 6781992000,What is your favorite song?,Lala,What was the first live concert that you attended?,Lala,20:18.0,15:39.0,,15:39.8,17:46.9,Active,0,0,0,0,1,8759,1,Site 36 Mobile App (Registration),262.26,0,0,250,20,750,78,2500,1539.5,2
12518638,Merryweather,Fairy,,qatest653@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,9/2/1988,1234 Xavier Way,,Atlanta,GA,30305,Resident,+1 4045575555,+1 4045575555,What is your father's middle name?,Bjj,In what city were you born?,Bjd,09:08.0,02:01.0,,02:01.5,02:41.9,Active,0,0,0,0,0,3456,1,Site 36 Mobile App (Registration),701,0,0,250,12,750,17.4,2500,4467,2
12428334,Sophie,Kuisl,,sophiek@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,3/15/1979,789 Main,,Atlanta,GA,30005,Resident,+1 3283898383,+1 3283898383,What was the name of your first school teacher?,Bill,In what city were you born?,Miami,43:46.0,51:34.0,,58:04.7,02:33.5,Active,0,0,0,0,1,2828,1,Site 36 Internet Portal,0,0,0,10,,10,,10,,2
12430396,Fantasy Portal,Rakhi,,qatest201@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,7/20/1984,789 Main,201,Duluth,GA,30005,Resident,+1 6786876877,+1 6786876877,What is the first name of your high school prom date?,acdfg,What was the first live concert that you attended?,abc,34:04.0,18:36.0,,18:33.4,43:39.5,Active,0,0,0,0,1,9998,1,Site 36 Internet Portal,13304.4,10.5,0,,,,,,,2
12442248,Hammy,Sandwich Test,,hammy.sandwich@gtech.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,6/6/1980,789 Deli Street,,Atlanta,GA,30303,Resident,+1 5555555556,+1 5555555556,What is your father's middle name?,Name,In what city were you born?,City,52:05.0,17:36.0,,17:36.7,48:50.4,Active,0,0,0,0,1,3387,1,Site 36 Internet Portal,245,0,0,100,11,750,18,2500,116,2
12448256,Tom,Cruise,,tom71@yahoo.co.in,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,7/23/1997,No 789 Test Street,Test,Macon,GA,30005,Resident,+1 6546554654,+1 5435435439,What was the name of your first pet?,res,What is your favorite song?,tedr,48:21.0,25:31.0,,25:31.0,35:22.5,Active,0,1,0,1,1,6437,1,Site 36 Internet Portal,32.65,108,0,250,25,750,75,2500,122.5,2
12456434,Portall,Playerss,,portall.player@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/2/1977,789 Williams Street,A1,Atlanta,GA,30303,Resident,+1 6785551212,+1 7702222222,Where did you spend your honeymoon?,cdd,What was the make of your first car?,cd,42:39.0,57:21.0,,57:21.6,22:41.5,Active,0,1,0,0,1,7214,1,Site 36 Internet Portal,1318,408,0,250,10,750,1745.5,2500,3037,2
12458330,Qqaa,Leevveell,,qqaa.leevveell@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,12/12/1968,789 Main Street,,Atlanta,GA,30005,Resident,+1 8448888888,+1 8448888888,Where did you spend your honeymoon?,Atlanta,In what city were you born?,Atlanta,29:37.0,45:25.0,,45:25.5,01:41.8,Active,0,0,0,0,1,4444,1,Site 36 Internet Portal,1881,0,0,250,22,750,2500,845,1386.5,2
12480619,Alll,Jonesss,,alll.jonesss@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,6/6/1977,789 Main,,Atlanta,GA,30005,Resident,+1 7702127894,+1 7702127894,What city or town was your mother born in?,test,What is your father's middle name?,test,56:41.0,43:57.0,,43:57.0,46:06.5,Active,0,0,0,0,1,5734,1,Site 36 Mobile App (Registration),39,0,0,100,1,700,10,1000,12,2
12502296,Amsaa,Vallii,Sr,amsaavallii.kasi@igt.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,11/10/1960,Streetg,Addressg,City,GA,30002,Resident,+1 2315698485,+1 4213658975,What is your favorite song?,bbbb,What city or town was your father born in?,aaaa,18:32.0,05:07.0,,36:20.8,37:45.9,Active,0,0,0,0,1,5260,1,Site 36 Mobile App (Registration),0,50,0,240,17,450,44,750,500,2
12510284,Aurora,Player,,qatest599@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/8/1987,12main,,Duluth,GA,30052,Resident,+1 7705856565,+1 7705856565,What was the name of your first school teacher?,a,What is the first name of your oldest niece or nephew?,a,26:17.0,01:50.0,,01:50.4,03:30.2,Active,0,0,0,0,1,3001,1,Site 36 Mobile App (Registration),0,0,0,250,,750,,2500,,2
12512274,Rr,Player,,rr17@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,9/21/1972,0921 Tulip Street,A,Newnan,GA,30087,Resident,+1 7704546565,+1 7704546565,What was the make of your first car?,a,In what city were you born?,a,57:06.0,51:34.0,,52:53.3,50:12.5,Active,0,0,0,0,1,921,1,Site 36 Internet Portal(Registration),0,0,0,150,,350,,2400,,2
12512278,Rr,Player,,rr18@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,11/2/1998,123street,,Duluth,GA,30052,Resident,+1 6785454455,+1 6785454455,What was the make of your first car?,a,In what city were you born?,a,53:21.0,51:34.0,,17:11.3,17:18.7,Active,0,0,0,0,1,1133,1,Site 36 Mobile Portal (Registration),0,0,0,200,,700,,2400,,2
12514258,Rr,Player,,rr20@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,10/24/1995,123 Main,,Alpharetta,GA,30024,Resident,+1 7705852525,+1 7705852525,What was the name of your first school teacher?,A,What was the name of your elementary/primary school?,A,55:35.0,51:34.0,,01:51.5,34:39.5,Active,0,0,0,0,1,1001,1,Site 36 Mobile App (Registration),0,0,0,250,,750,,2500,,2
12514260,Rr,Player,,rr22@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,1/2/1969,11 Main,,Marietta,GA,30099,Resident,+1 7704548989,+1 7704548989,What is the name of the street you lived on in third grade?,a,What was the first live concert that you attended?,a,07:54.0,51:34.0,,18:42.2,19:11.9,Active,0,0,0,0,1,1003,1,Site 36 Internet Portal(Registration),0,0,0,201,21,701,67.25,2001,1000,2
12514412,Rr,Player,,rr23@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,11/2/1993,111 Main,,Johns Creek,GA,30042,Resident,+1 6787705252,+1 6787705252,What was the name of your elementary/primary school?,A,What was the make of your first car?,A,05:31.0,51:34.0,,19:23.1,19:29.2,Active,0,0,0,0,1,1111,1,Site 36 Mobile App (Registration),0,100,0,240,12,740,76,2400,456,2
12518829,Jkdsfh,Kjhjk,,test5555@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,12/12/1912,Via Vai,Via Dei Nestieri,Matera,GA,30005,Resident,+1 9796889657,+1 9796889657,What was the name of your first school teacher?,fgdgg,What was the name of your elementary/primary school?,324234234,12:50.0,12:50.0,,12:51.0,23:09.9,Active,0,0,0,1,1,2131,1,Site 36 Mobile App (Registration),0,0,0,245,15,750,,2500,15,2
12518832,Primo,Secondo,,test5558@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,12/12/1912,Via Vai,Dssdf,Matea,GA,30030,Resident,+1 0978979794,+1 0978979794,Where did you spend your honeymoon?,erw,What was the name of your elementary/primary school?,tert,59:53.0,59:54.0,,59:54.0,00:22.4,Active,0,0,0,1,1,1234,1,Site 36 Mobile App (Registration),0,0,0,250,25,750,75,2500,258,2
12518833,Terzo ,Quarto,,test5559@gmail.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,12/12/1912,Marea,Skdjhj,Asddak,GA,30303,Resident,+1 9876868886,+1 9876868886,Where did you spend your honeymoon?,sdfsdfs,What was the name of your elementary/primary school?,dsfdsfdsf,02:17.0,03:21.0,,02:18.0,,Active,0,0,0,1,1,1234,1,Site 36 Mobile App (Registration),0,0,0,248,95,750,170,2500,560,2
12518845,Fenix,Sixcat ,,fenixsix@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/8/1967,127 Rose Street ,A,Decatur,GA,30052,Resident,+1 7709693636,+1 7709693636,What was the name of your first pet?,G,Who is your favorite author?,A,26:57.0,15:56.0,,15:56.1,15:56.1,Active,1,0,0,1,1,1237,1,Site 36 Mobile App (Registration),39,15,0,25,12,700,25,2500,199,2
12518865,Zero,Num,,0zero@georgialotto.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/2/1909,045 Dickens,3,Panda,GA,30002,Resident,+1 0039903344,+1 0347892283, What is the name of the hospital where you were born?,2,Who is your favorite author?,1,15:26.0,43:33.0,,43:33.2,54:33.5,Active,1,0,0,1,1,183,1,Site 36 Mobile App (Registration),20,1961.5,0,250,45,750,75,2500,138.5,2
12518951,Undine,Wells,,alchemicalwater@igt.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,4/16/1990,123 Real Street,,Norcross,GA,30003,Resident,+1 5555555555,+1 5555555555,What was the name of your first pet?,Yes,What is your father's middle name?,Yes,50:58.0,33:24.0,30:14.7,33:24.7,49:47.5,Locked,0,0,0,1,1,3543,1,Site 36 Internet Portal(Registration),0,10,0,150,,750,,2500,,2
12522375,Keno Nineteen ,Keenooo,,keno19@georgialotto.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,11/14/1963,86 Dhdhdh,,Xhxhdh,GA,30052,Resident,+1 7689898668,+1 7689898668,What city or town was your father born in?,2,Where did you spend your honeymoon?,1,08:56.0,24:51.0,18:10.1,19:10.1,34:18.5,Locked,0,0,0,1,1,7686,1,Site 36 Mobile App (Registration),1914,82,0,250,219,750,135,2500,430,2
