PLAYER_ID,FIRST_NAME,LAST_NAME,SUFFIX,EMAIL_ADDR,PASSWORD,GENDER,DATE_OF_BIRTH,ADDR_LINE1,ADDR_LINE2,CITY,REGION,POST_CODE,CITIZENSHIP,PRIMARY_PHONE,MOBILE_PHONE,SECURITY_QUESTION1,SECURITY_ANSWER1,SECURITY_QUESTION2,SECURITY_ANSWER2,STATE,COUPON,WINNING_NUMBERS,JACKPOT,NEWSLETTER,WIN_AND_PAYMENT_SYSTEM,SSN4,WINNING,DEPOSIT,BONUS,Total Balance,DAY_LIMIT,DAY_SPENT_LIMIT,WEEK_LIMIT,WEEK_SPENT_LIMIT,MONTH_LIMIT,MONTH_SPENT_LIMIT,REGISTRATION_LEVEL
12458330,Qqaa,Leevveell,,qqaa.leevveell@gmail.com,Password1,Unspecified,12/12/1968,789 Main Street,,Atlanta,GA,30005,Resident,+1 8448888888,+1 8448888888,Where did you spend your honeymoon?,Atlanta,In what city were you born?,Atlanta,Active,0,0,0,0,1,4444,1881,0,0,1881,250,22,750,2500.00,845,1386.5,2
12480619,Alll,Jonesss,,alll.jonesss@galottery.org,Password1,Unspecified,6/6/1977,789 Main,,Atlanta,GA,30005,Resident,+1 7702127894,+1 7702127894,What city or town was your mother born in?,test,What is your father's middle name?,test,Active,0,0,0,0,1,5734,39,0,0,39,100,1,700,10,1000,12,2
12502296,Amsaa,Vallii,Sr,amsaavallii.kasi@igt.com,Password1,Unspecified,11/10/1960,Streetg,Addressg,City,GA,30002,Resident,+1 2315698485,+1 4213658975,What is your favorite song?,bbbb,What city or town was your father born in?,aaaa,Active,0,0,0,0,1,5260,0,50,0,50,240,17,450,44,750,500,2
12510284,Aurora,Player,,qatest599@galottery.org,Password1,Unspecified,9/8/1987,12main,,Duluth,GA,30052,Resident,+1 7705856565,+1 7705856565,What was the name of your first school teacher?,a,What is the first name of your oldest niece or nephew?,a,Active,0,0,0,0,1,3001,0,0,0,0,250,,750,,2500,,2
12512274,Rr,Player,,rr17@galottery.org,Password1,Male,9/21/1972,0921 Tulip Street,A,Newnan,GA,30087,Resident,+1 7704546565,+1 7704546565,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,921,0,0,0,0,150,,350,,2400,,2
12512278,Rr,Player,,rr18@galottery.org,Password1,Male,11/2/1998,123street,,Duluth,GA,30052,Resident,+1 6785454455,+1 6785454455,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,1133,0,0,0,0,200,,700,,2400,,2
12514258,Rr,Player,,rr20@galottery.org,Password1,Female,10/24/1995,123 Main,,Alpharetta,GA,30024,Resident,+1 7705852525,+1 7705852525,What was the name of your first school teacher?,A,What was the name of your elementary/primary school?,A,Active,0,0,0,0,1,1001,0,0,0,0,250,,750,,2500,,2
12514260,Rr,Player,,rr22@galottery.org,Password1,Male,1/2/1969,11 Main,,Marietta,GA,30099,Resident,+1 7704548989,+1 7704548989,What is the name of the street you lived on in third grade?,a,What was the first live concert that you attended?,a,Active,0,0,0,0,1,1003,0,0,0,0,201,21,701,67.25,2001,1000,2
12514412,Rr,Player,,rr23@galottery.org,Password1,Female,11/2/1993,111 Main,,Johns Creek,GA,30042,Resident,+1 6787705252,+1 6787705252,What was the name of your elementary/primary school?,A,What was the make of your first car?,A,Active,0,0,0,0,1,1111,0,100,0,100,240,12,740,76,2400,456,2
12518829,Jkdsfh,Kjhjk,,test5555@gmail.com,Password1,Female,12/12/1912,Via Vai,Via Dei Nestieri,Matera,GA,30005,Resident,+1 9796889657,+1 9796889657,What was the name of your first school teacher?,fgdgg,What was the name of your elementary/primary school?,324234234,Active,0,0,0,1,1,2131,0,0,0,0,245,15,750,,2500,15,2
12518832,Primo,Secondo,,test5558@gmail.com,Password1,Female,12/12/1912,Via Vai,Dssdf,Matea,GA,30030,Resident,+1 0978979794,+1 0978979794,Where did you spend your honeymoon?,erw,What was the name of your elementary/primary school?,tert,Active,0,0,0,1,1,1234,0,0,0,0,250,25,750,75,2500,258,2
12518833,Terzo ,Quarto,,test5559@gmail.com,Password1,Female,12/12/1912,Marea,Skdjhj,Asddak,GA,30303,Resident,+1 9876868886,+1 9876868886,Where did you spend your honeymoon?,sdfsdfs,What was the name of your elementary/primary school?,dsfdsfdsf,Active,0,0,0,1,1,1234,0,0,0,0,248,95,750,170,2500,560,2
12518845,Fenix,Sixcat ,,fenixsix@georgialotto.org,Password1,Unspecified,9/8/1967,127 Rose Street ,A,Decatur,GA,30052,Resident,+1 7709693636,+1 7709693636,What was the name of your first pet?,G,Who is your favorite author?,A,Active,1,0,0,1,1,1237,39,15,0,54,25,12,700,25,2500,199,2
12518865,Zero,Num,,0zero@georgialotto.com,Password1,Unspecified,9/2/1909,045 Dickens,3,Panda,GA,30002,Resident,+1 0039903344,+1 0347892283, What is the name of the hospital where you were born?,2,Who is your favorite author?,1,Active,1,0,0,1,1,183,20,1961.5,0,1981.5,250,45,750,75,2500,138.5,2
